Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/fr/kb/voir-details-techniques-page?redirectslug=Page+Info+window&redirectlocale=en-US,"152,266","119,922",00:03:27,"96,301",23.67%,64.72%,$0.00
/es/users/auth,"151,694","131,903",00:01:47,"6,549",76.77%,60.05%,$0.00
/en-US/kb/delete-browsing-search-download-history-firefox,"150,973","131,647",00:01:40,"66,670",14.98%,63.71%,$0.00
/en-US/kb/compacting-folders,"150,376","134,506",00:03:00,"128,899",42.48%,86.74%,$0.00
/fr/kb/comment-regler-codes-erreur-securite-sur-sites-securises,"149,940","135,794",00:03:36,"126,026",44.23%,85.00%,$0.00
/en-US/kb/understanding-risks-unlisted-extensions,"149,457","139,430",00:02:33,"132,305",18.04%,80.45%,$0.00
/zh-CN/users/auth,"148,726","123,329",00:01:50,"5,438",72.91%,59.14%,$0.00
/en-US/kb/fix-bookmarks-and-history-will-not-be-functional?redirectslug=The+bookmarks+and+history+system+will+not+be+functional&redirectlocale=en-US,"148,140","120,730",00:02:25,"119,586",17.03%,63.72%,$0.00
/de/products/firefox/manage-preferences-and-add-ons-firefox/install-and-manage-add-ons,"146,841","131,608",00:01:45,"116,105",62.58%,61.09%,$0.00
/en-US/kb/take-screenshots-firefox,"146,074","130,486",00:03:04,"119,765",24.46%,83.43%,$0.00
/fr/kb/erreurs-liees-date-et-heure-sur-sites-web-seurises,"144,544","126,863",00:03:35,"123,374",42.00%,84.37%,$0.00
/sv/kb/thunderbird-and-junk-spam-messages,"141,989","83,097",00:03:18,"82,138",13.28%,57.62%,$0.00
/pl/products/firefox,"141,691","123,369",00:01:21,"108,517",72.68%,68.83%,$0.00
/en-US/kb/secure-firefox-account-two-step-authentication,"141,395","105,736",00:03:04,"88,211",16.99%,67.16%,$0.00
/en-US/kb/find-and-install-add-ons-add-features-to-firefox,"139,949","123,404",00:01:43,"43,004",24.01%,55.78%,$0.00
/pl/kb/problemy-z-czasem-zabezpieczone-strony,"139,701","123,223",00:03:25,"121,468",51.87%,85.97%,$0.00
/fr/kb/personnaliser-boutons-barres-outils-firefox,"139,644","118,597",00:03:03,"97,639",29.31%,72.12%,$0.00
/en-US/kb/https-only-prefs,"138,709","127,757",00:03:57,"111,348",15.96%,80.90%,$0.00
/de/kb/ordner-komprimieren,"137,156","124,826",00:03:52,"122,455",37.95%,89.09%,$0.00
/en-US/kb/access-mozilla-services-firefox-account,"136,757","113,310",00:01:19,"79,986",15.97%,43.60%,$0.00
/en-US/kb/firefox-accounts-renamed-mozilla-accounts,"135,609","107,628",00:01:41,"70,863",14.27%,58.02%,$0.00
/de/kb/verbindungs-einstellungen-firefox,"134,489","118,826",00:04:56,"101,415",18.78%,73.66%,$0.00
/en-US/kb/send-tab-firefox-desktop-other-devices,"134,287","123,554",00:01:46,"119,479",29.50%,80.36%,$0.00
/de/kb/Seiteninformationen?redirectslug=Page+Info+window&redirectlocale=en-US,"133,461","103,802",00:03:32,"85,867",21.70%,64.62%,$0.00
/en-US/products/firefox/fix-problems,"129,659","101,425",00:00:53,"6,324",51.20%,22.78%,$0.00
/es/kb/Instalar Firefox en GNU-Linux,"129,132","89,450",00:01:49,"80,728",7.71%,59.59%,$0.00
